direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"A315 Torreperogil A Baza Km 63,15, 23485 Pozo Alcón (Jaén)",1.999,2.119,1.949,2.039,GALP,L-D: 07:00-22:00,2022-07-18 01:17:00
"A494 Km 17,400, 21810 Palos De La Frontera (Huelva)",1.959,2.069,1.979,2.029,REPSOL,L: 07:00-22:00,2022-07-20 00:00:00
"Ac-862 Km 24, 15563 Moeche (Coruña (A))",2.129,,2.019,2.099,ORTEGAL OIL,L-S: 07:00-22:00; D: 08:00-22:00,2022-07-18 15:04:00
"Ac-862 Km 31,30, 15569 Cerdido (Coruña (A))",2.129,2.259,2.019,,ORTEGAL OIL,L-S: 08:00-14:00 y 16:00-20:00,2022-07-18 15:08:00
"Ac 840 Km 6,89, 15380 Oza-Cesuras (Coruña (A))",1.999,2.179,1.939,1.999,E.S. OZAGAS,L-D: 07:00-23:00,2022-07-19 17:22:00
"Acceso A-66, S/N, 06240 Fuente De Cantos (Badajoz)",2.019,2.239,2.019,2.099,GALP,L-D: 06:00-23:00,2022-07-18 08:45:00
"Acceso A-92, 282, 18181 Darro (Granada)",1.999,,1.939,,CARBURANTES A92,L-V: 07:00-21:00; S: 07:00-14:00,2022-07-19 22:26:00
"Acceso Acceso Aeropuerto Tenerife Sur, 1, 38610 Granadilla De Abona (Santa Cruz De Tenerife)",1.612,,1.592,,DISA AEROPUERTO TFS,L-D: 24H,2022-07-19 16:35:00
"Acceso Aeropuerto De Barcelona, Lado Aire, S/N, 08830 Sant Boi De Llobregat (Barcelona)",2.039,,2.049,,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Acceso Aeropuerto De Lanzarote-Lado Aire, Sn, 35500 Arrecife (Palmas (Las))",1.599,,1.624,,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Acceso Aeropuerto De Lanzarote-Lado Tierra, Sn, 35500 Arrecife (Palmas (Las))",1.599,1.689,1.579,1.684,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Acceso Aéropuerto Lavacolla, S/N, 15702 Santiago De Compostela (Coruña (A))",2.081,2.351,2.011,2.099,SHELL,L-D: 07:00-23:00,2022-07-19 07:09:00
"Acceso Area De Expansion Ganadera, 2, 44450 La Puebla De Valverde (Teruel)",,,,,CEREALES TERUEL,L-V: 24H,2022-07-19 15:30:00
"Acceso Barbastro-Alquezar, 0, 22145 Alquézar (Huesca)",2.08,,2.06,,ESTACION DE SERVICIO,L-D: 09:00-14:00 y 16:00-19:00,2022-07-18 09:44:00
"Acceso Carretera A La Hidalga, S/N, 38550 Arafo (Santa Cruz De Tenerife)",1.584,1.744,1.574,1.709,CEPSA,L-D: 24H,2022-07-20 00:00:00
"Acceso Cra. Nacional 625, 0, 33547 Cangas De Onís (Asturias)",,2.189,1.979,2.069,GALP ARRIONDAS,L-D: 06:00-22:00,2022-07-20 02:14:00
"Acceso Ctra, 4, 08251 Santpedor (Barcelona)",1.979,2.089,1.969,2.019,REPSOL,L-V: 06:00-22:00,2022-07-20 00:00:00
"Acceso Ctra. N-Vi.  Robra,, 27150 Outeiro De Rei (Lugo)",1.939,2.219,1.929,,Q8,L-D: 24H,2022-07-19 12:20:00
"Acceso Norte A Vandellòs (C-233 Km 9,8), 43891 Vandellòs I L'hospitalet De L'infant (Tarragona)",1.899,,1.855,1.885,ALAS,L-D: 07:00-13:00 y 15:00-21:00,2022-07-19 11:12:00
"Acceso Partida Saso Bajo, S/N, 22250 Lanaja (Huesca)",,,2.005,,AN ENERGÉTICOS - LANAJA,L-D: 24H,2022-07-18 09:44:00
"Acceso Plan Parcial Les Viñes Cv 403 Nuevo Acceso A Xirivella C-3215, Sn, 46920 Mislata (Valencia / València)",2.029,,1.974,2.044,GALP,L-D: 06:00-22:00,2022-07-19 19:33:00
"Ad Bracana Sn, 14812 Almedinilla (Córdoba)",1.93,,1.875,,S.C.A. NTRA. SRA. CARMEN,L-D: 24H,2022-07-19 10:26:00
"Adva. Gijon, N-601 Km 194,6, 47610 Zaratán (Valladolid)",2.047,2.189,1.977,2.077,REPOSTAR--ZARATAN,L-D: 07:00-22:00,2022-07-18 14:15:00
"Ae Vial Salida Aeropuerto, S.n., 07611 Palma (Balears (Illes))",2.029,2.169,2.029,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Agregado Naranjo, S/N, 30011 Murcia (Murcia)",,,,,REPSOL BUTANO,L-V: 08:00-22:00; S-D: 09:00-14:00,2022-07-18 13:59:00
"Aguilar-Barruelo Km 13,3, 34820 Barruelo De Santullán (Palencia)",1.979,,1.949,,LOS LINARES,L-V: 08:00-21:00; S-D: 09:00-14:30 y 16:30-21:00,2022-07-19 10:11:00
"Alameda De Andalucía, 42, 29200 Antequera (Málaga)",1.919,,1.899,,ASC CARBURANTES,L-D: 24H,2022-07-18 08:31:00
"Alameda Solano, 18 (N-340a Km 5,1), 11130 Chiclana De La Frontera (Cádiz)",1.969,2.101,1.965,2.045,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"Alcala, 284-286, 28027 Madrid (Madrid)",2.029,2.239,2.029,2.099,CEPSA-ELF,L-D: 24H,2022-07-19 23:00:00
"Alcampo  Hipermercado  (C.c. Bonaire) Ctra.  N-Iii Km. 345, 46960 Aldaia (Valencia / València)",1.958,2.104,1.89,1.948,"ALCAMPO, S.A.",L-S: 07:00-22:00,2022-07-19 11:17:00
"Alcampo Hipermercado ( Centro Comercial Salera ) (Carretera 340 Km 64.500), 12006 Castelló De La Plana (Castellón / Castelló)",1.954,2.039,1.929,1.987,ALCAMPO,L-D: 24H,2022-07-19 18:14:00
"Alcolea-Tarragona S/N, 44570 Calanda (Teruel)",1.999,,1.949,,LA CALANDINA,L-D: 24H,2022-07-18 14:38:00
"Aldea Av Aurelio Menendez, Sn, 33810 Ibias (Asturias)",1.969,,1.959,,CAMPSA,L-D: 08:00-14:00 y 15:00-21:00,2022-07-20 00:00:00
"Aldea Carretera De La Muela, S/N, 11150 Vejer De La Frontera (Cádiz)",,,1.877,,CODISAL,L-D: 07:00-22:00,2022-07-18 15:12:00
"Aldea Poligono Industrial, 1, 33868 Salas (Asturias)",2.069,,1.989,2.089,REPSOL,L-D: 06:00-22:00,2022-07-18 12:25:00
"Alferez Provisionales S/N, 52001 Melilla (Melilla)",1.523,,1.534,1.574,SHELL,L-S: 07:00-23:00,2022-07-18 15:00:00
"Alfonso X El Sabio, S/N,, 08301 Mataró (Barcelona)",1.959,2.239,1.959,,Q8,L-D: 24H,2022-07-19 12:20:00
"Alfredo Atienza, 149-151, 02630 La Roda (Albacete)",,,1.855,,LA REMEDIADORA,L-D: 24H,2022-07-19 13:31:00
"Alicante, 1 - P.i. Beniata, 03800 Alcoy/Alcoi (Alicante)",1.914,,1.889,,GASOLINERA ALCOY,L-D: 24H,2022-07-20 02:13:00
"Almogavares, 66, 08018 Barcelona (Barcelona)",1.989,,1.939,2.029,GALP,L-D: 24H,2022-07-19 19:32:00
"Alzira/Carcaixent Km 0.400, 46600 Alzira (Valencia / València)",1.978,,1.918,,ALZICOOP CARBURANTS,L-D: 24H,2022-07-18 10:36:00
"Antigua Nacional Vi Km 368, 24300 Bembibre (León)",1.989,2.099,1.979,2.029,REPSOL,L-V: 08:00-21:00; S-D: 10:00-14:00 y 16:00-20:00,2022-07-20 00:00:00
"Antxotxipi Nº 17 - Zaisa Iii, 20305 Irun (Gipuzkoa)",,,2.009,,SACYTRANS,L-D: 24H,2022-07-19 17:02:00
"Ap-1535 Km 2,000, 03581 L'alfàs Del Pi (Alicante)",1.989,2.119,1.929,1.999,GALP,L-D: 06:00-22:00,2022-07-20 02:14:00
"Ap-4 (Mrg.dcho.) Km 70, 11407 Jerez De La Frontera (Cádiz)",2.039,2.181,2.009,2.099,BP AP4 CUADREJON SEVILLA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Ap-4 (Mrg.izdo.) Km 70, 11407 Jerez De La Frontera (Cádiz)",2.039,2.181,2.009,2.099,BP AP4 CUADREJON JEREZ,L-D: 07:00-23:00,2022-07-20 00:00:00
"Ap-4 Km 45, 41730 Las Cabezas De San Juan (Sevilla)",2.039,2.179,2.009,2.099,ENI,L-D: 24H,2022-07-18 10:00:00
"Ap-53 Km 28,000, 36453 Silleda (Pontevedra)",2.029,2.149,1.999,2.089,GALP,L-D: 24H,2022-07-19 19:32:00
"Ap-7 (Mrg.dcho.) Km 358,2, 12580 Benicarló (Castellón / Castelló)",2.029,,2.015,2.115,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Ap-8 (Mrg.dcho.) Km 55, 20829 Deba (Gipuzkoa)",2.034,2.166,2.049,2.115,CEPSA,L-D: 24H,2022-07-19 08:47:00
"Ap-8 (Mrg.izdo.) Km 55, 20829 Deba (Gipuzkoa)",2.034,2.166,2.049,2.115,CEPSA,L-D: 24H,2022-07-19 08:49:00
"Apartamentes Camino De La Gabardera, S/N, 50637 Remolinos (Zaragoza)",,,,,COOPERATIVA,L-V: 08:00-13:00 y 15:00-18:00; S: 08:00-13:00,2022-07-19 09:56:00
"Apel·les Mestres 44-46, 43206 Reus (Tarragona)",1.934,2.009,1.949,,ENTREAUTO,L-D: 24H,2022-07-18 14:48:00
"Arañaburu 3-B, 20180 Oiartzun (Gipuzkoa)",,,2.019,,INSAUSTI,L-D: 24H,2022-07-18 09:43:00
"Area, Arrabal Butiplaya La, 1, 29649 Mijas (Málaga)",2.019,2.161,1.989,2.079,BP LA CALA,L-D: 24H,2022-07-19 09:40:00
"Area, Arrabal Cr Sevilla Ai-7, 1, 06009 Badajoz (Badajoz)",2.099,2.199,2.099,2.199,CEPSA,L: 07:00-23:00,2022-07-18 01:01:00
"Area, Arrabal El Pla, 2, 46270 Villanueva De Castellón (Valencia / València)",1.949,,1.879,,GASEXPRESS,L-D: 24H,2022-07-18 18:55:00
"Area, Arrabal Puerto De Raos, 8, 39011 Santander (Cantabria)",2.069,,1.979,2.009,"EESSMAS, S.L.",L-V: 07:00-21:00; S: 08:00-20:00,2022-07-18 11:58:00
