direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"Avenida Espanya, S/N, 17200 Palafrugell (Girona)",1.989,2.139,1.999,2.089,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida España, 1, 28691 Villanueva De La Cañada (Madrid)",1.919,,1.879,1.986,ALCAMPO,L-D: 24H,2022-07-18 09:42:00
"Avenida España, 118, 28821 Coslada (Madrid)",1.999,2.129,2.019,2.099,CEPSA,L-D: 06:00-00:00,2022-07-19 10:32:00
"Avenida España, 181, 12400 Segorbe (Castellón / Castelló)",2.059,,1.999,2.079,GEST,L-V: 06:00-22:00; S-D: 07:00-22:00,2022-07-18 12:50:00
"Avenida España, 44, 10600 Plasencia (Cáceres)",1.959,2.159,1.999,2.089,REPSOL,L-D: 06:00-23:00,2022-07-20 01:30:00
"Avenida Estalajes, S,N, 06920 Azuaga (Badajoz)",1.929,2.039,1.999,2.049,REPSOL,L-D: 07:00-22:00,2022-07-20 00:00:00
"Avenida Este (Ciudad Del Transporte Pamplona), 1, 31119 Noáin (Valle De Elorz)/Noain (Elortzibar) (Navarra)",1.986,2.106,1.985,2.035,"ANDAMUR ""PAMPLONA""",L-D: 24H,2022-07-19 09:10:00
"Avenida Esteban De Cabrera, 8, 14014 Córdoba (Córdoba)",1.889,,1.859,,PETROPRIX,L-D: 24H,2022-07-19 16:05:00
"Avenida Estella, 9, 31180 Zizur Mayor/Zizur Nagusia (Navarra)",1.989,2.129,1.905,1.999,AVIA,L-D: 24H,2022-07-18 06:00:00
"Avenida Eugenio Dominguez Sierra, 48, 38639 San Miguel De Abona (Santa Cruz De Tenerife)",1.599,1.709,1.599,1.689,ESTACIÓN DE SERVICIO EL GOMERO,L-D: 24H,2022-07-18 10:15:00
"Avenida Europa - Parcela, 7, 17800 Olot (Girona)",1.959,2.109,1.949,2.039,PETROCAT,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Europa (C.c. La Moraleja), 13/15, 28100 Alcobendas (Madrid)",2.045,2.166,2.069,2.135,CEPSA,L-V: 07:00-23:00; S-D: 09:00-21:00,2022-07-18 23:06:00
"Avenida Europa D', 1, 17469 Vilamalla (Girona)",1.919,,1.899,,AVANZA OIL,L-D: 24H,2022-07-18 09:41:00
"Avenida Europa Esq. C/ Bélgica, 138, 12006 Castelló De La Plana (Castellón / Castelló)",1.969,,1.879,,BDMED,L-D: 24H,2022-07-18 13:52:00
"Avenida Europa, 12, 03720 Benissa (Alicante)",1.907,,1.879,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Avenida Europa, 2, 17490 Llançà (Girona)",2.009,2.159,2.008,2.079,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Europa, 2, 41960 Gines (Sevilla)",1.959,2.099,1.949,2.029,SHELL,L-D: 05:30-23:30,2022-07-19 14:00:00
"Avenida Europa, 229, 12000 Castelló De La Plana (Castellón / Castelló)",1.929,,1.868,,GMOIL,L-D: 24H,2022-07-18 16:52:00
"Avenida Europa, 26, 08700 Igualada (Barcelona)",2.039,2.178,1.979,2.057,REPSOL,L-D: 07:00-22:00,2022-07-19 09:41:00
"Avenida Europa, 28, 42005 Soria (Soria)",1.977,,1.897,,+B ENERGIAS,L-D: 24H,2022-07-18 10:54:00
"Avenida Europa, 45, 13004 Ciudad Real (Ciudad Real)",2.019,2.109,1.999,2.039,CARREFOUR,L-S: 08:00-22:00; D: 09:00-21:00,2022-07-19 15:15:00
"Avenida Europa, 57, 17300 Blanes (Girona)",1.929,,1.899,,GM OIL,L-D: 24H,2022-07-19 16:55:00
"Avenida Europa, 7, 14550 Montilla (Córdoba)",,,2,,"COOP. AGRICOLA LA AURORA, S.C.A.",L-D: 09:00-20:00,2022-07-18 08:20:00
"Avenida Europa, 8, 03720 Benissa (Alicante)",2.019,2.161,1.999,2.089,BP BENISSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Europa, D', 46, 17300 Blanes (Girona)",1.989,2.129,1.969,2.039,Q8,L-D: 24H,2022-07-19 12:20:00
"Avenida Europa, S/N, 11405 Jerez De La Frontera (Cádiz)",1.989,2.109,1.959,1.999,CARREFOUR,L-J: 06:00-01:00; V-S: 06:00-01:30; D: 08:30-01:00,2022-07-19 15:15:00
"Avenida Europa, S/N, 28922 Alcorcón (Madrid)",1.879,2.059,1.859,1.949,ALCAMPO,L-D: 00:00-23:59,2022-07-18 21:00:00
"Avenida Extremadura Nº1 (Se-184 Km 1,2), 41970 Santiponce (Sevilla)",1.979,2.159,1.899,1.959,ITALICA OIL,L-D: 06:00-22:00,2022-07-19 06:00:00
"Avenida Extremadura, 1, 37521 Robleda (Salamanca)",1.999,,2.019,,REPSOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-07-19 07:30:00
"Avenida Extremadura, 192, 06120 Oliva De La Frontera (Badajoz)",1.969,,1.979,,REPSOL,L-S: 08:00-22:00; D: 08:00-14:00,2022-07-20 00:00:00
"Avenida Extremadura, 6, 06210 Torremejía (Badajoz)",,,,,SCL EL SEÑORIO,L-D: 24H,2022-07-18 19:42:00
"Avenida Extremadura, 67, 06910 Granja De Torrehermosa (Badajoz)",,,1.979,,REPSOL,L-S: 08:00-14:00 y 16:00-21:00,2022-07-20 00:00:00
"Avenida Extremadura, S/N, 06810 Calamonte (Badajoz)",1.944,,1.989,2.055,CEPSA,L-V: 06:00-22:00; S-D: 07:00-15:00,2022-07-19 23:31:00
"Avenida Extremadura, S/N, 06850 Arroyo De San Serván (Badajoz)",1.929,,1.979,,REPSOL,L-S: 06:00-22:00,2022-07-20 00:00:00
"Avenida Fabregada, 55, 08901 L'hospitalet De Llobregat (Barcelona)",1.839,1.969,1.799,,TAMOIL,L-D: 24H,2022-07-19 17:15:00
"Avenida Fausto Caruana, 59, 46500 Sagunto/Sagunt (Valencia / València)",1.959,,1.889,,PETROPRIX,L-D: 24H,2022-07-19 16:05:00
"Avenida Federico Garcia Lorca, 1, 35459 Las Palmas De Gran Canaria (Palmas (Las))",1.639,1.749,1.599,1.699,REPSOL,L-D: 24H,2022-07-19 06:00:00
"Avenida Federico Garcia Lorca, 21, 03509 Finestrat (Alicante)",2.029,2.179,1.979,2.069,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Federico Garcia Lorca, 51, 41730 Las Cabezas De San Juan (Sevilla)",1.999,,1.938,,RED AHORRO,L-D: 06:00-22:00,2022-07-20 00:01:00
"Avenida Federico Garcia Lorca, S/N, 04008 Almería (Almería)",1.979,2.099,1.979,2.069,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Avenida Federico Silva Muñoz, 128, 49600 Benavente (Zamora)",1.969,2.109,1.989,2.069,SHELL,L-D: 24H,2022-07-19 16:00:00
"Avenida Federico Silva Muñoz, 139, 49600 Benavente (Zamora)",1.909,,1.939,,GALP&GO,L-D: 24H,2022-07-19 19:32:00
"Avenida Federico Silva Muñoz, 21, 49600 Benavente (Zamora)",1.929,2.061,1.939,2.039,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Federico Silva Muñoz, 259, 49600 Benavente (Zamora)",1.974,,1.975,2.075,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Avenida Felipe Ii, 9, 28280 El Escorial (Madrid)",1.959,2.109,1.979,2.069,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Felipe Vi, S/N, 06800 Mérida (Badajoz)",1.949,,1.899,1.899,PETROGOLD,L-D: 24H,2022-07-18 08:52:00
"Avenida Felix Rodriguez De La Fuente, S/N, 11660 Prado Del Rey (Cádiz)",1.999,,2.02,2.11,BP,L-D: 08:00-21:00,2022-07-19 00:00:00
"Avenida Fernando De Castro, 39, 24320 Sahagún (León)",1.884,,1.865,,"RIALCE, S.L.",L-D: 24H,2022-07-18 09:29:00
"Avenida Fernando De Los Rios, 116, 18100 Armilla (Granada)",1.939,,1.899,,Q8,L: 08:30-21:30; M: 09:30-14:30; X-S: 08:30-21:30,2022-07-19 12:20:00
"Avenida Fernando Iii El Santo, S/N, 30820 Alcantarilla (Murcia)",1.969,2.099,1.959,2.009,REPSOL,L-D: 06:00-22:00,2022-07-20 06:00:00
"Avenida Fernando Portillo, S/N, 11405 Jerez De La Frontera (Cádiz)",1.949,,1.899,1.909,BALLENOIL,L-D: 24H,2022-07-19 11:00:00
"Avenida Ferrocarril (Del), 1, 28550 Tielmes (Madrid)",2.019,,1.999,2.059,TIELMES S.L.,L-V: 06:00-23:00; S-D: 07:00-22:59,2022-07-19 16:01:00
"Avenida Ferrocarril, 79, 15008 A Coruña (Coruña (A))",1.969,2.209,1.989,2.049,REPSOL,L-D: 24H,2022-07-20 01:48:00
"Avenida Finanzauto (De), 2, 28500 Arganda Del Rey (Madrid)",1.909,,1.889,,DELFIOIL,L-D: 07:00-22:00,2022-07-19 15:10:00
"Avenida Finisterre, 265, 15010 A Coruña (Coruña (A))",1.899,2.059,1.849,1.899,PETROCASH BENS,L-D: 24H,2022-07-19 23:10:00
"Avenida Finisterre, 4, 15145 A Laracha (Coruña (A))",1.999,2.109,1.959,2.009,AVIA,L-D: 06:00-22:00,2022-07-19 13:10:00
"Avenida Finisterre, P.km. 1,500, S/N, 15010 A Coruña (Coruña (A))",1.959,2.099,1.969,2.019,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Finlandia, 17, 03130 Santa Pola (Alicante)",1.989,,1.949,,LOW COST,L-D: 24H,2022-07-18 09:15:00
"Avenida Flota De Indias, S/N, 41011 Sevilla (Sevilla)",2.049,2.189,1.989,2.079,BP  PARQUE DE LOS PRINCIPES,L-D: 06:00-23:00,2022-07-18 06:00:00
"Avenida Fraga, 21, 22200 Sariñena (Huesca)",1.929,2.079,1.939,2.029,REPSOL,L-S: 06:30-21:00; D: 07:00-21:00,2022-07-20 00:00:00
"Avenida França, 30, 17800 Olot (Girona)",1.998,,1.968,,MORROT,L-D: 24H,2022-07-18 07:00:00
"Avenida Francesc De Borja Moll, 61, 07640 Ses Salines (Balears (Illes))",2.069,,2.059,2.129,CEPSA,L-S: 08:00-20:00,2022-07-20 00:00:00
"Avenida Francia, S/N, 19005 Guadalajara (Guadalajara)",1.969,2.089,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Avenida Francia, Sn, 17497 Portbou (Girona)",1.984,,1.979,2.059,CEPSA,L-V: 08:00-14:00; S: 08:00-13:00,2022-07-20 00:00:00
"Avenida Francisco Javier Saenz De Oiza, Esquina Glorieta Juan De Haro, 5, 28055 Madrid (Madrid)",1.979,2.119,1.969,2.049,SHELL,L-D: 06:00-00:00,2022-07-19 15:00:00
"Avenida Francisco La Roche, 1, 38150 Santa Cruz De Tenerife (Santa Cruz De Tenerife)",1.699,1.809,1.659,,DISA NAUTICO,L-D: 24H,2022-07-18 09:35:00
"Avenida Francisco Marimon, 121, 08292 Esparreguera (Barcelona)",2.029,2.171,2.029,2.119,BP PARADA LA CREU,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Francisco Montenegro, 30, 21001 Huelva (Huelva)",1.964,,1.979,2.079,CEPSA,L-S: 06:00-20:30,2022-07-20 00:00:00
"Avenida Francisco Pi Y Margall, 5, 28050 Madrid (Madrid)",,,,,NATURGY,L-D: 24H,2022-07-19 00:00:00
"Avenida Fray Julian Garces, 112, 50007 Zaragoza (Zaragoza)",1.979,2.119,1.949,2.039,PETRONOR,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Fuenlabrada, 110, 28970 Humanes De Madrid (Madrid)",1.909,,1.899,,SHELL,L-D: 24H,2022-07-19 14:00:00
"Avenida Fuenlabrada, 16, 28912 Leganés (Madrid)",1.989,2.079,1.969,2.019,BP,L-D: 24H,2022-07-20 00:00:00
"Avenida Fuenlabrada, 30, 28950 Moraleja De Enmedio (Madrid)",2.039,2.139,2.029,2.089,CEPSA,L-V: 06:00-22:00; S-D: 08:00-16:00,2022-07-19 23:33:00
"Avenida Fuenlabrada, 6, 28970 Humanes De Madrid (Madrid)",1.899,,1.869,1.879,BALLENOIL,L-D: 24H,2022-07-19 13:55:00
"Avenida Fuente Alamo, 1, 30169 Murcia (Murcia)",1.869,1.961,1.864,1.924,FROET-GAS,L-D: 24H,2022-07-19 15:19:00
"Avenida Fuente Nueva, 18, 28700 San Sebastián De Los Reyes (Madrid)",1.939,,1.899,,PETROPRIX,L-D: 24H,2022-07-19 16:05:00
"Avenida Fuentenueva, 1, 28700 San Sebastián De Los Reyes (Madrid)",1.954,2.094,1.954,2.034,SHELL,L-D: 06:00-00:00,2022-07-19 14:00:00
"Avenida Fuerzas Armadas, S/N, 50300 Calatayud (Zaragoza)",1.989,2.121,1.965,2.031,CEPSA,L-D: 06:00-22:00,2022-07-18 14:52:00
"Avenida Fuerzas Armadas, Sn, 50300 Calatayud (Zaragoza)",1.905,2.109,1.883,1.959,ALCAMPO,L-D: 24H,2022-07-19 09:45:00
"Avenida Fundador Gonzalo Gonzalez, S/N, 38600 Granadilla De Abona (Santa Cruz De Tenerife)",1.639,1.749,1.639,1.719,DISA,L-D: 06:00-23:00,2022-07-19 00:00:00
"Avenida Fundadores Cooperativa, 69, 13420 Malagón (Ciudad Real)",1.985,,1.929,,"MONTES NORTE ENERGETICOS, S.L.",L-D: 24H,2022-07-18 18:15:00
"Avenida Gabriel Alomar Y Villalonga, S/N, 07006 Palma (Balears (Illes))",1.995,2.155,2.005,2.085,REPSOL,L-D: 24H,2022-07-19 22:00:00
"Avenida Gaitan Ayala (Puerto Algeciras-Isla Verde), S/N, 11207 Algeciras (Cádiz)",1.959,,1.965,,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Avenida Galicia-Teis, 165, 36216 Vigo (Pontevedra)",2.019,2.199,1.949,,E.SERVICIO TEIS P.R.,L-D: 07:00-23:00,2022-07-19 13:18:00
"Avenida Galicia, 221, 24400 Ponferrada (León)",1.899,,1.869,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Avenida Galicia, 41, 27400 Monforte De Lemos (Lugo)",1.959,2.069,1.969,2.019,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Galicia, 86, 24400 Ponferrada (León)",1.999,2.129,1.989,2.039,REPSOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-07-20 00:00:00
"Avenida Galicia, S/N, 33730 Grandas De Salime (Asturias)",2.139,,2.089,2.139,EL SALVADOR,L-V: 09:10-14:10 y 16:10-20:10; S-D: 10:10-14:10 y 16:10-20:10,2022-07-18 01:38:00
"Avenida Galicia, S/N, 33860 Salas (Asturias)",2.044,,1.964,,GALP,L-S: 08:00-21:00; D: 08:00-14:00,2022-07-20 02:14:00
"Avenida Garay, 23, 01474 Artziniega (Araba/Álava)",2.005,2.135,1.995,2.035,AVIA,L-D: 06:00-22:00,2022-07-18 10:22:00
"Avenida Garcia De Tafalla, 1, 10620 Caminomorisco (Cáceres)",1.939,,1.969,2.019,REPSOL,L-S: 07:00-21:00; D: 08:00-19:00,2022-07-20 00:00:00
"Avenida Gaspar Aguilar, 96, 46017 València (Valencia / València)",1.969,,1.909,,Q8,L-D: 24H,2022-07-19 12:20:00
"Avenida Gaston Castello, 58, 03014 Alicante/Alacant (Alicante)",1.999,,1.985,2.051,CEPSA,L-D: 07:00-21:00,2022-07-20 07:00:00
"Avenida Gaviotas Las, 10, 29640 Fuengirola (Málaga)",2.019,2.161,1.989,2.079,BP FUENGIROLA - CENTRO,L-D: 24H,2022-07-20 00:00:00
"Avenida General Fanjul, 1, 28044 Madrid (Madrid)",1.994,2.126,2.029,2.095,CEPSA,L-D: 06:00-23:00,2022-07-19 08:43:00
"Avenida General Giraldez Nº 16, 41710 Utrera (Sevilla)",1.999,2.141,1.989,2.079,BP LA AURORA,L-D: 06:00-22:30,2022-07-19 09:48:00
"Avenida General Luque, S/N, 07300 Inca (Balears (Illes))",2.049,2.189,2.029,2.109,REPSOL,L-D: 24H,2022-07-20 06:00:00
"Avenida General Primo De Rivera, 31, 33740 Tapia De Casariego (Asturias)",2.029,2.169,1.999,2.069,REPSOL,L-D: 07:00-23:00,2022-07-19 06:00:00
"Avenida Generalisimo, 111, 34800 Aguilar De Campoo (Palencia)",1.989,2.139,1.969,2.059,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Generalitat (De La), 10, 43500 Tortosa (Tarragona)",1.819,,1.799,,TAMOIL,L-D: 24H,2022-07-19 17:15:00
"Avenida Generalitat De La, 2, 46870 Ontinyent (Valencia / València)",1.999,2.109,1.959,2.009,REPSOL,L-V: 06:00-22:00; S-D: 07:00-21:00,2022-07-19 00:00:00
"Avenida Generalitat Valenciana, 14, 46470 Massanassa (Valencia / València)",1.989,,1.889,,BDMED,L-D: 24H,2022-07-18 14:01:00
"Avenida Generalitat Valenciana, 20, 46470 Catarroja (Valencia / València)",2.095,2.212,2.019,2.104,E.S. HORTETA,L-S: 06:00-22:00; D: 07:00-22:00,2022-07-18 12:51:00
"Avenida Generalitat, 152, 43500 Tortosa (Tarragona)",1.969,2.099,1.959,2.009,PETRONOR,L-D: 06:00-22:00,2022-07-20 00:00:00
"Avenida Generalitat, 31, 17200 Palafrugell (Girona)",2.059,,1.899,,ANEU OIL,L-D: 24H,2022-07-18 20:26:00
"Avenida Generalitat, 44, 43580 Deltebre (Tarragona)",1.979,2.089,1.939,1.989,REPSOL,L-D: 06:00-20:00,2022-07-20 00:00:00
"Avenida Generalitat, S/N, 43580 Deltebre (Tarragona)",1.929,,1.909,,ESCLATOIL,L-D: 24H,2022-07-18 12:00:00
"Avenida Genil, 18, 41400 Écija (Sevilla)",1.999,2.119,1.959,2.019,SANTIAGO,L-D: 24H,2022-07-19 16:33:00
"Avenida Gesto Por La Paz, 106, 11207 Algeciras (Cádiz)",1.889,,1.849,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Avenida Gestos Por La Pa, 7, 11205 Algeciras (Cádiz)",2.046,2.188,1.966,2.056,BP,L: 24H,2022-07-18 10:42:00
"Avenida Gijón, 37, 47310 Zaratán (Valladolid)",1.969,,1.899,,GASEXPRESS,L-V: 06:00-00:00; S: 09:00-14:00 y 16:00-21:00; D: 10:00-14:00 y 16:00-21:00,2022-07-18 18:51:00
"Avenida Gijon, 70, 33460 Avilés (Asturias)",1.969,2.119,1.969,2.059,REPSOL,L-D: 06:00-23:00,2022-07-20 00:00:00
"Avenida Gijon, 78, 47009 Valladolid (Valladolid)",1.879,,1.869,,PETROPRIX,L-D: 24H,2022-07-19 16:05:00
"Avenida Gines Campos, 7, 30840 Alhama De Murcia (Murcia)",1.969,2.099,1.969,2.039,REPSOL,L-D: 06:00-23:00,2022-07-20 00:00:00
"Avenida Girona, S/N, 17130 L'escala (Girona)",1.989,,1.969,,GADCAR,L-D: 24H,2022-07-19 15:17:00
"Avenida Goles De L'ebre, 7, 43580 Deltebre (Tarragona)",1.783,,1.783,,BONAREA,L-D: 24H,2022-07-19 18:45:00
"Avenida Gomez Laguna, 151, 50012 Zaragoza (Zaragoza)",1.949,,1.899,1.959,GASOLPRIME,L-D: 24H,2022-07-18 17:00:00
"Avenida Gonzalez Tablas, S/N, 51001 Ceuta (Ceuta)",1.564,,1.609,1.649,CEPSA,L-V: 07:00-22:00; S: 09:00-14:00,2022-07-20 00:00:00
"Avenida Gonzalo Navarro, 129, 15578 Narón (Coruña (A))",1.999,,1.989,2.039,VALCARCE,L-D: 24H,2022-07-20 00:01:00
"Avenida Goya, 10, 50611 Erla (Zaragoza)",1.939,,1.949,1.999,PETRONOR,L-S: 07:00-21:00; D: 09:00-21:00,2022-07-20 00:00:00
"Avenida Gran Canaria(Pg. Rosale), Sn, 15011 A Coruña (Coruña (A))",1.969,2.119,1.959,2.029,PETRONOR,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Gran Via, Sn, 30370 San Javier (Murcia)",1.939,2.089,1.969,2.059,REPSOL,L-D: 07:00-22:00,2022-07-20 00:00:00
"Avenida Granada, 102, 11550 Chipiona (Cádiz)",1.999,,1.929,,ESC,L-D: 24H,2022-07-18 12:33:00
"Avenida Granada, 15, 14800 Priego De Córdoba (Córdoba)",1.847,,1.887,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Avenida Granada, 3, 41320 Cantillana (Sevilla)",1.959,,1.959,2.049,PETRONOR,L-V: 06:00-21:00; S: 06:00-20:00; D: 08:00-20:00,2022-07-20 00:00:00
"Avenida Granada, 87, 18193 Monachil (Granada)",1.979,,1.899,,ENERGY CARBURANTES,L: 07:00-23:00,2022-07-19 10:40:00
"Avenida Gregorio Prieto, 27, 13300 Valdepeñas (Ciudad Real)",2.019,,2.029,,E.E.S.S. MIRA,L-S: 06:00-22:00,2022-07-18 14:19:00
"Avenida Guadalajara, 29, 28805 Alcalá De Henares (Madrid)",1.959,2.109,1.999,2.089,REPSOL,L-V: 06:00-22:00; S-D: 08:00-22:00,2022-07-20 00:00:00
"Avenida Guadalajara, 44, 19171 Cabanillas Del Campo (Guadalajara)",1.959,,1.989,2.069,BP-PAR 72,L-D: 07:00-22:00,2022-07-19 14:30:00
"Avenida Guardia Civil, 114, 02500 Tobarra (Albacete)",2.059,,1.999,2.049,E.S. TOBARRA,L-D: 07:00-22:00,2022-07-18 14:19:00
"Avenida Guardia Civil, 162, 02500 Tobarra (Albacete)",1.909,,1.879,,NTRA. SRA. DE LA ENCARNACION,L-D: 06:00-23:00,2022-07-18 12:27:00
"Avenida Guardia Civil, 233, 02500 Tobarra (Albacete)",2.049,2.199,2.019,2.079,REPSOL,L-D: 24H,2022-07-18 19:34:00
"Avenida Guardia Civil, S/N, 02120 Peñas De San Pedro (Albacete)",2.079,,1.979,,VALERO 24H ENERGIA,L-D: 24H,2022-07-18 10:51:00
"Avenida Guipuzcoa, 1, 31014 Pamplona/Iruña (Navarra)",2.009,,1.969,2.069,CEPSA,L-D: 00:00-23:59,2022-07-20 06:00:00
"Avenida Gutierrez Mellado S/N, S/N, 30500 Molina De Segura (Murcia)",1.999,2.129,1.949,2.02,SHELL,L-D: 24H,2022-07-19 06:00:00
"Avenida Habana, S/N, 15011 A Coruña (Coruña (A))",1.959,2.099,1.959,,REPSOL,L-S: 08:00-22:00,2022-07-20 00:00:00
"Avenida Hermanos Bou, 152, 12100 Castelló De La Plana (Castellón / Castelló)",1.979,,1.889,,BDMED,L-D: 24H,2022-07-18 13:55:00
"Avenida Hermanos Machado, 139, 46025 València (Valencia / València)",2.049,2.181,2.005,2.071,CEPSA,L-D: 00:00-23:59,2022-07-19 23:55:00
"Avenida Hernán Cortés, Sn, 06712 Villanueva De La Serena (Badajoz)",2.019,2.219,1.999,2.079,CEPSA,L-D: 06:00-00:00,2022-07-19 01:28:00
"Avenida Hijas De La Caridad, 69, 46640 Mogente/Moixent (Valencia / València)",1.999,,1.899,,AUROSERVICIO CIRUGEDA 24 H,L-D: 24H,2022-07-19 19:34:00
"Avenida Hipodromo, S/N, 20160 Donostia/San Sebastián (Gipuzkoa)",1.969,,2.004,2.044,GALP,L-D: 24H,2022-07-19 19:33:00
"Avenida Hipolito Sinforiano,8, 8, 38440 La Guancha (Santa Cruz De Tenerife)",1.574,1.679,1.579,,PCAN,L-V: 05:00-21:00; S: 06:00-21:00; D: 07:00-14:00,2022-07-18 06:00:00
"Avenida Hispanidad, 15, 13610 Campo De Criptana (Ciudad Real)",,,1.91,,COMATRA,L-D: 24H,2022-07-18 10:23:00
"Avenida Hispanidad, 2, 06800 Mérida (Badajoz)",1.949,,1.919,,HERMANOS GUILLEN MONTERO S.A.,L-D: 24H,2022-07-18 12:06:00
"Avenida Hispanidad, 44, 28042 Madrid (Madrid)",1.989,2.119,1.989,2.039,REPSOL,L-D: 05:00-23:00,2022-07-20 00:00:00
"Avenida Hispanidad, 87,89, 50011 Zaragoza (Zaragoza)",1.979,,1.975,2.075,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Avenida Hispanidad, Sn, 46520 Sagunto/Sagunt (Valencia / València)",2.019,2.169,1.989,,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Avenida Hospitalet, S/N, 23260 Castellar (Jaén)",2.055,,2.029,,E.S. CASTELLAR,L-S: 06:00-22:00; D: 07:00-21:00,2022-07-18 01:26:00
"Avenida Hoya De La Gallina, S/N, 35019 Las Palmas De Gran Canaria (Palmas (Las))",1.655,1.765,1.609,1.714,REPSOL,L-D: 07:00-00:00,2022-07-20 00:00:00
"Avenida Huerta, 14, 41318 Villaverde Del Río (Sevilla)",1.972,,1.999,2.065,CEPSA,L-D: 06:00-22:00,2022-07-19 11:45:00
"Avenida Humanes, 171, 28971 Griñón (Madrid)",1.999,,1.949,,BALLENOIL,L-D: 24H,2022-07-17 11:07:00
"Avenida Ignacio Wallis, 58, 07800 Eivissa (Balears (Illes))",2.109,2.259,2.099,,SHELL,L-D: 07:00-22:45,2022-07-19 10:29:00
"Avenida Ildefons Cerda, 121, 08540 Centelles (Barcelona)",1.968,,1.898,1.958,PETROLIS INDEPENDENTS,L-D: 24H,2022-07-18 11:49:00
"Avenida Illice, 22, 03320 Elche/Elx (Alicante)",2.039,,1.979,2.069,REPSOL,L-D: 24H,2022-07-18 14:25:00
"Avenida Industria (De La), 52, 28760 Tres Cantos (Madrid)",1.787,,1.799,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Avenida Industria (De La), S/N, 28760 Tres Cantos (Madrid)",1.999,2.141,1.989,2.079,BP TRES CANTOS,L-D: 24H,2022-07-20 00:00:00
"Avenida Industria,, 08660 Balsareny (Barcelona)",2.09,,1.98,,PETROBAGES S.L.,L-D: 24H,2022-07-18 11:25:00
"Avenida Industria, 44, 28760 Tres Cantos (Madrid)",1.787,,1.799,1.809,BALLENOIL,L-D: 24H,2022-07-19 13:55:00
"Avenida Industris, S/N, 50016 Zaragoza (Zaragoza)",2.009,2.159,1.979,2.069,REPSOL,L-D: 06:00-22:00,2022-07-18 13:37:00
"Avenida Infanta Elena, Duquesa De, 206, 27297 Lugo (Lugo)",1.859,,1.839,,PETROPRIX,L-D: 24H,2022-07-19 16:05:00
"Avenida Infanta Elena, S/N, 27003 Lugo (Lugo)",1.939,2.039,1.939,,EROSKI,L-S: 08:00-22:15,2022-07-19 08:05:00
"Avenida Ingeniero Rivera, 0, 34440 Frómista (Palencia)",1.969,,1.939,1.989,REPSOL,L-V: 08:00-15:30; S-D: 09:00-15:00,2022-07-20 00:00:00
"Avenida Iparraguirre, 108, 48940 Leioa (Bizkaia)",1.999,2.159,1.999,2.099,REPSOL,L-D: 24H,2022-07-20 00:01:00
"Avenida Iparraguirre, 110, 48940 Leioa (Bizkaia)",2.009,2.169,1.989,2.089,EROSKI,L-S: 08:00-22:30; D: 09:00-22:30,2022-07-19 08:05:00
"Avenida Iparraguirre, 21, 48940 Leioa (Bizkaia)",1.999,2.159,1.999,2.099,REPSOL,L-D: 24H,2022-07-20 00:01:00
"Avenida Iparralde, 42, 20304 Irun (Gipuzkoa)",2.009,2.159,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Avenida Iribarne, S/N, 15300 Betanzos (Coruña (A))",2.004,,1.995,2.075,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Avenida Irlanda-Pl Espiritu Santo, 0, 33010 Oviedo (Asturias)",1.95,,,,TVA,L-D: 00:00-23:59,2022-07-18 09:53:00
"Avenida Iruñeko Etorbidea/Avenida De Pamplona, 18, 31800 Altsasu/Alsasua (Navarra)",1.939,,1.849,,IZELAI FUEL,L-D: 24H,2022-07-19 17:53:00
"Avenida Isaac Peral, 39, 29004 Málaga (Málaga)",1.999,2.131,1.999,2.099,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
